Canada,North America,SL.TLF.TOTL.IN,17980503,17341662,17554856,16941931,17706025,16454900,16186923,18934218,18289463,18579576,18747581
Canada,North America,SL.UEM.TOTL.ZS,6.484,7.574,7.185,7.665,6.758,7.219,6.829,8.178,6.156,6.284,8.46
Cayman Islands,Latin America & Caribbean,SP.POP.TOTL,48232,43934,45352,42514,46788,41089,39674,54099,49687,51151,52618
Cayman Islands,Latin America & Caribbean,NY.GDP.PCAP.CD,87085.09374,NA,NA,NA,NA,NA,NA,76837.66996,89888.26182,89655.11962,81373.57115
Cayman Islands,Latin America & Caribbean,SL.TLF.TOTL.IN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cayman Islands,Latin America & Caribbean,SL.UEM.TOTL.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Central African Republic,Sub-Saharan Africa,SP.POP.TOTL,4377579,4103086,4192826,4006077,4288810,3919487,3833416,4492995,4462770,4558984,4529047
Central African Republic,Sub-Saharan Africa,NY.GDP.PCAP.CD,333.9425199,278.4039922,303.4613212,248.639291,311.9500231,237.9517025,239.1541337,476.873787,380.8870488,437.2482747,456.4716739
Central African Republic,Sub-Saharan Africa,SL.TLF.TOTL.IN,1743881,1633162,1670331,1591138,1710058,1554776,1519797,1768615,1774213,1810032,1791421
Central African Republic,Sub-Saharan Africa,SL.UEM.TOTL.ZS,5.235,5.433,5.352,5.437,5.314,5.405,5.362,5.291,5.191,5.139,5.202
Chad,Sub-Saharan Africa,SP.POP.TOTL,10706424,9487833,9920036,9116192,10328092,8804124,8512093,12312575,11081660,11476296,11893754
Chad,Sub-Saharan Africa,NY.GDP.PCAP.CD,693.8545918,289.0876211,445.8507672,219.061392,643.8079293,194.3229533,163.1216637,866.4396809,780.581406,905.6784319,781.143474
Chad,Sub-Saharan Africa,SL.TLF.TOTL.IN,3639849,3273492,3419195,3158872,3541960,3080214,3012805,4047417,3732926,3836518,3946011
Chad,Sub-Saharan Africa,SL.UEM.TOTL.ZS,0.724,0.732,0.685,0.769,0.678,0.787,0.79,0.878,0.834,0.906,0.906
Channel Islands,Europe & Central Asia,SP.POP.TOTL,154214,150960,152039,149881,153126,148850,148110,158621,155309,156408,157511
Channel Islands,Europe & Central Asia,NY.GDP.PCAP.CD,62745.10066,48570.77966,56259.53442,44459.73182,57647.11889,41873.74061,43479.19408,56121.63866,74139.97799,NA,57778.54029
Channel Islands,Europe & Central Asia,SL.TLF.TOTL.IN,77353,74956,75690,74285,76639,73615,73189,80113,78119,78845,79519
Channel Islands,Europe & Central Asia,SL.UEM.TOTL.ZS,5.762,5.842,6.047,5.507,6.028,5.232,5.551,7.225,5.414,5.478,6.874
Chile,Latin America & Caribbean,SP.POP.TOTL,16509195,16024752,16187322,15857925,16348778,15683849,15503635,17181464,16671581,16838988,17009731
Chile,Latin America & Caribbean,NY.GDP.PCAP.CD,9318.656553,4773.401775,6120.591521,4430.847412,7480.32331,4563.595299,5052.992458,12632.87047,10346.41382,10683.21888,10098.80172
Chile,Latin America & Caribbean,SL.TLF.TOTL.IN,7184183,6589050,6752634,6411103,6916575,6355065,6343733,8113921,7369317,7648250,7744258
Chile,Latin America & Caribbean,SL.UEM.TOTL.ZS,9.024,9.765,10.162,10.168,9.34,10.39,10.491,8.278,8.427,9.285,11.313
China,East Asia & Pacific,SP.POP.TOTL,1311020000,1288400000,1296075000,1280400000,1303720000,1271850000,1262645000,1337705000,1317885000,1324655000,1331260000
China,East Asia & Pacific,NY.GDP.PCAP.CD,2099.21943,1288.637491,1508.667916,1148.514257,1753.414192,1053.112314,959.3604314,4550.473944,2693.958732,3468.327063,3832.227457
China,East Asia & Pacific,SL.TLF.TOTL.IN,761948735,735682023,744936890,725938760,754465388,715928584,706837950,773873234,766486940,769779554,772141043
China,East Asia & Pacific,SL.UEM.TOTL.ZS,4.43,4.58,4.49,4.24,4.52,3.8,3.26,4.53,4.35,4.59,4.72
Colombia,Latin America & Caribbean,SP.POP.TOTL,42691084,40937429,41543171,40324680,42128977,39709262,39089934,44777319,43235374,43758808,44271541
Colombia,Latin America & Caribbean,NY.GDP.PCAP.CD,3789.853612,2311.942188,2818.571954,2428.929698,3456.066109,2472.99084,2555.00751,6398.295845,4769.926147,5541.836297,5250.972924
Colombia,Latin America & Caribbean,SL.TLF.TOTL.IN,19349955,18966234,19153768,18340323,19163184,18236154,17848151,21788403,19533984,20022584,21321685
Colombia,Latin America & Caribbean,SL.UEM.TOTL.ZS,11.091,13.221,13.717,14.481,11.062,15.04,20.52,11.153,11.204,11.273,12.066
Comoros,Sub-Saharan Africa,SP.POP.TOTL,604753,569798,580704,558923,592677,547220,536080,654836,616927,629307,641947
Comoros,Sub-Saharan Africa,NY.GDP.PCAP.CD,1154.904223,959.7878945,1091.272164,762.1169303,1103.206585,691.6999088,655.0077967,1386.574243,1289.736311,1455.027686,1410.30517
Comoros,Sub-Saharan Africa,SL.TLF.TOTL.IN,141390,127197,130361,124427,135799,121579,118766,165266,147125,153038,159104
Comoros,Sub-Saharan Africa,SL.UEM.TOTL.ZS,4.473,4.559,4.571,4.369,4.522,4.377,4.398,4.248,4.46,4.398,4.348
"Congo, Dem. Rep.",Sub-Saharan Africa,SP.POP.TOTL,60615908,55343867,56997741,53750524,58775724,52132646,50507442,68563038,62477752,64390664,66412044
